year,region,value
2022,Rest of Thailand,4866.743117093642
2023,Thailand,7418.721094553526
2023,Bangkok,29690.69251945204
2023,Nonthaburi,7861.301118021379
2023,Samut Prakan,16609.268100036217
2023,Rest of Thailand,5047.737006888427
2024,Thailand,7702.040517247092
2024,Bangkok,30824.5739198674
2024,Nonthaburi,8161.522580183267
2024,Samut Prakan,17243.572610138322
2024,Rest of Thailand,5240.5090381419695
2025,Thailand,7988.488673175413
2025,Bangkok,31970.976920065867
2025,Nonthaburi,8465.059427000124
2025,Samut Prakan,17884.881827446323
2025,Rest of Thailand,5435.409876009543
2026,Thailand,8277.612942220341
2026,Bangkok,33128.09007511175
2026,Nonthaburi,8771.432036311271
2026,Samut Prakan,18532.182411683105
2026,Rest of Thailand,5632.131555372726
2027,Thailand,8585.477746248927
2027,Bangkok,34360.20530325867
2027,Nonthaburi,9097.66318818544
2027,Samut Prakan,19221.439900070145
2027,Rest of Thailand,5841.604393697171
2028,Thailand,8896.219386208579
2028,Bangkok,35603.834005219935
2028,Nonthaburi,9426.942799926606
2028,Samut Prakan,19917.138139989675
2028,Rest of Thailand,6053.034646380085
2029,Thailand,9218.213538374666
2029,Bangkok,36892.496733361
2029,Nonthaburi,9768.146217086738
2029,Samut Prakan,20638.0288611541
2029,Rest of Thailand,6272.121167786542
2030,Thailand,9551.867868968064
2030,Bangkok,38227.82502123867
2030,Nonthaburi,10121.70542610623
2030,Samut Prakan,21385.024759629425
2030,Rest of Thailand,6499.141336165877
2031,Thailand,9936.404455192793
2031,Bangkok,39766.79075381758
2031,Nonthaburi,10529.182382940191
2031,Samut Prakan,22245.937465940508
2031,Rest of Thailand,6760.782059957763
2032,Thailand,10336.52362572767
2032,Bangkok,41368.12002770158
2032,Nonthaburi,10953.171537213273
2032,Samut Prakan,23141.736956267334
2032,Rest of Thailand,7033.025256397264
2033,Thailand,10752.861586717718
2033,Bangkok,43034.35902312712
2033,Nonthaburi,11394.347049338763
2033,Samut Prakan,24073.84758910712
2033,Rest of Thailand,7316.303803504904
2034,Thailand,11175.293780663298
2034,Bangkok,44724.987936237725
2034,Nonthaburi,11841.980359208117
2034,Samut Prakan,25019.60218399001
2034,Rest of Thailand,7603.728898895755
2035,Thailand,11614.438274837144
2035,Bangkok,46482.501661574854
2035,Nonthaburi,12307.322978107253
2035,Samut Prakan,26002.77280671945
2035,Rest of Thailand,7902.525131610315
2036,Thailand,12070.961576988233
2036,Bangkok,48309.56765035882
2036,Nonthaburi,12791.081175761827
2036,Samut Prakan,27024.851655984727
2036,Rest of Thailand,8213.145997040443
2037,Thailand,12545.55702309485
2037,Bangkok,50208.96072389393
2037,Nonthaburi,13293.98965062347
2037,Samut Prakan,28087.39099436587
2037,Rest of Thailand,8536.063244646886
2038,Thailand,13038.945868871322
2038,Bangkok,52183.56744192127
2038,Nonthaburi,13816.812686492738
2038,Samut Prakan,29192.005592033533
2038,Rest of Thailand,8871.767620626228
2039,Thailand,13551.878426238156
2039,Bangkok,54236.39065092092
2039,Nonthaburi,14360.345356787862
2039,Samut Prakan,30340.375271114404
2039,Rest of Thailand,9220.76964117116
2040,Thailand,14085.135246634856
2040,Bangkok,56370.554219884696
2040,Nonthaburi,14925.414778450679
2040,Samut Prakan,31534.24755492948
2040,Rest of Thailand,9583.600397602779
2041,Thailand,14639.528353134529
2041,Bangkok,58589.30797139991
2041,Nonthaburi,15512.881417565723
2041,Samut Prakan,32775.44042649128
2041,Rest of Thailand,9960.812394707873
2042,Thailand,15215.90252340276
2042,Bangkok,60896.03281621876
2042,Nonthaburi,16123.640448856813
2042,Samut Prakan,34065.845200832926
2042,Rest of Thailand,10352.980423670911
2043,Thailand,15815.136625630179
2043,Bangkok,63294.246099835254
2043,Nonthaburi,16758.623171317613
2043,Samut Prakan,35407.429515936325
2043,Rest of Thailand,10760.70247104961
2044,Thailand,16438.145009658943
2044,Bangkok,65787.6071699554
2044,Nonthaburi,17418.798482328788
2044,Samut Prakan,36802.24044723026
2044,Rest of Thailand,11184.600665304752
2045,Thailand,17085.878955617973
2045,Bangkok,68379.9231741249
2045,Nonthaburi,18105.174412714747
2045,Samut Prakan,38252.407750840874
2045,Rest of Thailand,11625.322262459229
2046,Thailand,17759.3281824806
2046,Bangkok,71075.15509717434
2046,Nonthaburi,18818.799725297606
2046,Samut Prakan,39760.14724099846
2046,Rest of Thailand,12083.540672528658
2047,Thailand,18459.522419061468
2047,Bangkok,73877.42404855433
2047,Nonthaburi,19560.765579615327
2047,Samut Prakan,41327.76430723509
2047,Rest of Thailand,12559.956528435958
2048,Thailand,19187.533040077054
2048,Bangkok,76791.01781006371
2048,Nonthaburi,20332.207265585017
2048,Samut Prakan,42957.657577248836
2048,Rest of Thailand,13055.298799195545
2049,Thailand,19944.474770006545
2049,Bangkok,79820.39765492377
2049,Nonthaburi,21134.30600901134
2049,Samut Prakan,44652.3227315615
2049,Rest of Thailand,13570.325949229302
2050,Thailand,20731.507457606953
2050,Bangkok,82970.20544961994
2050,Nonthaburi,21968.290851964222
2050,Samut Prakan,46414.35647635938
2050,Rest of Thailand,14105.827145756022
2051,Thailand,21618.81977435152
2051,Bangkok,86521.34544119166
2051,Nonthaburi,22908.537724538965
2051,Samut Prakan,48400.89943564309
2051,Rest of Thailand,14709.559131473572
2052,Thailand,22545.080565777625
2052,Bangkok,90228.36232463359
2052,Nonthaburi,23890.056628189785
2052,Samut Prakan,50474.641475445955
2052,Rest of Thailand,15339.791865029742
2053,Thailand,23512.053543337308
2053,Bangkok,94098.31470394884
2053,Nonthaburi,24914.716492430704
2053,Samut Prakan,52639.53124890974
2053,Rest of Thailand,15997.725385009691
2054,Thailand,24521.585409428844
2054,Bangkok,98138.59332376618
2054,Nonthaburi,25984.47418872825
2054,Samut Prakan,54899.70321193908
2054,Rest of Thailand,16684.616197476615
2055,Thailand,25575.609950357222
2055,Bangkok,102356.93744990352
2055,Nonthaburi,27101.378867636507
2055,Samut Prakan,57259.486786651105
2055,Rest of Thailand,17401.78006084368
2056,Thailand,26676.152342924328
2056,Bangkok,106761.45210490534
2056,Nonthaburi,28267.576522306314
2056,Samut Prakan,59723.41600310625
2056,Rest of Thailand,18150.59491610073
2057,Thailand,27825.333686569244
2057,Bangkok,111360.62620626105
2057,Nonthaburi,29485.314791000284
2057,Samut Prakan,62296.23964600758
2057,Rest of Thailand,18932.503970506463
2058,Thailand,29025.37577369682
2058,Bangkok,116163.35165788427
2058,Nonthaburi,30756.948012005818
2058,Samut Prakan,64982.9319346639
2058,Rest of Thailand,19749.018943345192
2059,Thailand,30278.6061115977
2059,Bangkok,121178.94344849374
2059,Nonthaburi,32084.942545148646
2059,Samut Prakan,67788.70376622342
2059,Rest of Thailand,20601.723482867754
2060,Thailand,31587.46321017775
2060,Bangkok,126417.16081379841
2060,Nonthaburi,33471.88237497343
2060,Samut Prakan,70719.01455401022
2060,Rest of Thailand,21492.27676409051
2061,Thailand,32954.50215058437
2061,Bangkok,131888.22952286858
2061,Nonthaburi,34920.47501157855
2061,Samut Prakan,73779.58469474141
2061,Rest of Thailand,22422.417277718123
2062,Thailand,34382.40045074385
2062,Bangkok,137602.86535278382
2062,Nonthaburi,36433.55770607498
2062,Samut Prakan,76976.40870047822
2062,Rest of Thailand,23393.966821086127
2063,Thailand,35873.96424481317
2063,Bangkok,143572.2988196076
2063,Nonthaburi,38014.10399868676
2063,Samut Prakan,80315.76903337875
2063,Rest of Thailand,24408.834702692588
2064,Thailand,37432.13479460541
2064,Bangkok,149808.30123796393
2064,Nonthaburi,39665.230618629714
2064,Samut Prakan,83804.25068368368
2064,Rest of Thailand,25469.022172606263
2065,Thailand,39059.99535217507
2065,Bangkok,156323.2121860016
2065,Nonthaburi,41390.20475609936
2065,Samut Prakan,87448.75653388999
2065,Rest of Thailand,26576.62709180601
2066,Thailand,40760.77839395407
2066,Bangkok,163129.9684573529
2066,Nonthaburi,43192.451727975
2066,Samut Prakan,91256.5235547639
2066,Rest of Thailand,27733.848854325
2067,Thailand,42537.87324811558
2067,Bangkok,170242.134586842
2067,Nonthaburi,45075.56306021073
2067,Samut Prakan,95235.13988172528
2067,Rest of Thailand,28942.99357694946
2068,Thailand,44394.83413821906
2068,Bangkok,177673.93504220454
2068,Nonthaburi,47043.305011341596
2068,Samut Prakan,99392.56282321498
2068,Rest of Thailand,30206.479572157088
2069,Thailand,46335.38866766049
