year,region,value
1995,Rest of Thailand,49866954.07947021
1996,Thailand,57591666.2405685
1996,Bangkok,5100560.205149192
1996,Nonthaburi,1009019.3863382692
1996,Samut Prakan,1081459.2318624898
1996,Rest of Thailand,50400627.417218536
1997,Thailand,58201482.79095915
1997,Bangkok,5154568.1238708235
1997,Nonthaburi,1019703.5141230746
1997,Samut Prakan,1092910.397998363
1997,Rest of Thailand,50934300.75496689
1998,Thailand,58811299.3413498
1998,Bangkok,5208576.042592455
1998,Nonthaburi,1030387.6419078801
1998,Samut Prakan,1104361.5641342362
1998,Rest of Thailand,51467974.09271523
1999,Thailand,59421115.891740456
1999,Bangkok,5262583.961314086
1999,Nonthaburi,1041071.7696926855
1999,Samut Prakan,1115812.7302701094
1999,Rest of Thailand,52001647.430463575
2000,Thailand,60030932.44213111
2000,Bangkok,5316591.880035717
2000,Nonthaburi,1051755.8974774908
2000,Samut Prakan,1127263.8964059826
2000,Rest of Thailand,52535320.768211916
2001,Thailand,60500667.5988511
2001,Bangkok,5358193.601321527
2001,Nonthaburi,1059985.7666671628
2001,Samut Prakan,1136084.6070213558
2001,Rest of Thailand,52946403.623841055
2002,Thailand,60970402.7555711
2002,Bangkok,5399795.322607337
2002,Nonthaburi,1068215.6358568345
2002,Samut Prakan,1144905.317636729
2002,Rest of Thailand,53357486.47947019
2003,Thailand,61440137.91229109
2003,Bangkok,5441397.043893147
2003,Nonthaburi,1076445.5050465064
2003,Samut Prakan,1153726.028252102
2003,Rest of Thailand,53768569.335099325
2004,Thailand,61909873.069011085
2004,Bangkok,5482998.765178957
2004,Nonthaburi,1084675.3742361781
2004,Samut Prakan,1162546.7388674752
2004,Rest of Thailand,54179652.19072847
2005,Thailand,62379608.225731075
2005,Bangkok,5524600.486464767
2005,Nonthaburi,1092905.24342585
2005,Samut Prakan,1171367.4494828484
2005,Rest of Thailand,54590735.0463576
2006,Thailand,62718893.18058486
2006,Bangkok,5554648.989171813
2006,Nonthaburi,1098849.59474068
2006,Samut Prakan,1177738.5595862786
2006,Rest of Thailand,54887656.03708609
2007,Thailand,63058178.13543864
2007,Bangkok,5584697.49187886
2007,Nonthaburi,1104793.94605551
2007,Samut Prakan,1184109.669689709
2007,Rest of Thailand,55184577.02781457
2008,Thailand,63397463.09029243
