# File: Subregions_Thailand_pcgdp.csv
# Title: Subregions and rest-of-Thailand pcgdp
# Units: thousand 2005 USD per capita
# Description: Computed off-line
# Column types: cin
# ----------
"region","year","pcgdp"
"Rest of Thailand",2044,11.18460067
"Thailand",2045,17.08587896
"Bangkok",2045,68.37992317
"Rest of Thailand",2045,11.62532226
"Thailand",2046,17.75932818
"Bangkok",2046,71.0751551
"Rest of Thailand",2046,12.08354067
"Thailand",2047,18.45952242
"Bangkok",2047,73.87742405
"Rest of Thailand",2047,12.55995653
"Thailand",2048,19.18753304
"Bangkok",2048,76.79101781
"Rest of Thailand",2048,13.0552988
"Thailand",2049,19.94447477
"Bangkok",2049,79.82039765
"Rest of Thailand",2049,13.57032595
"Thailand",2050,20.73150746
"Bangkok",2050,82.97020545
"Rest of Thailand",2050,14.10582715
"Thailand",2051,21.61881977
"Bangkok",2051,86.52134544
"Rest of Thailand",2051,14.70955913
"Thailand",2052,22.54508057
"Bangkok",2052,90.22836232
"Rest of Thailand",2052,15.33979187
"Thailand",2053,23.51205354
"Bangkok",2053,94.0983147
"Rest of Thailand",2053,15.99772539
"Thailand",2054,24.52158541
"Bangkok",2054,98.13859332
"Rest of Thailand",2054,16.6846162
"Thailand",2055,25.57560995
"Bangkok",2055,102.3569374
"Rest of Thailand",2055,17.40178006
"Thailand",2056,26.67615234
"Bangkok",2056,106.7614521
"Rest of Thailand",2056,18.15059492
"Thailand",2057,27.82533369
"Bangkok",2057,111.3606262
"Rest of Thailand",2057,18.93250397
"Thailand",2058,29.02537577
"Bangkok",2058,116.1633517
"Rest of Thailand",2058,19.74901894
"Thailand",2059,30.27860611
"Bangkok",2059,121.1789434
"Rest of Thailand",2059,20.60172348
"Thailand",2060,31.58746321
"Bangkok",2060,126.4171608
"Rest of Thailand",2060,21.49227676
"Thailand",2061,32.95450215
"Bangkok",2061,131.8882295
"Rest of Thailand",2061,22.42241728
"Thailand",2062,34.38240045
"Bangkok",2062,137.6028654
"Rest of Thailand",2062,23.39396682
"Thailand",2063,35.87396424
"Bangkok",2063,143.5722988
"Rest of Thailand",2063,24.4088347
"Thailand",2064,37.43213479
"Bangkok",2064,149.8083012
"Rest of Thailand",2064,25.46902217
"Thailand",2065,39.05999535
"Bangkok",2065,156.3232122
"Rest of Thailand",2065,26.57662709
"Thailand",2066,40.76077839
"Bangkok",2066,163.1299685
"Rest of Thailand",2066,27.73384885
"Thailand",2067,42.53787325
"Bangkok",2067,170.2421346
"Rest of Thailand",2067,28.94299358
"Thailand",2068,44.39483414
