# File: Subregions_Thailand_pop.csv
# Title: Subregions and rest-of-Thailand population (all years)
# Units: millions
# Description: Computed off-line
# Column types: cin
# ----------
"region","year","population"
"Bangkok",2074,4.452964293
"Rest of Thailand",2074,46.19351045
"Thailand",2075,52.33302956
"Bangkok",2075,4.418538283
"Rest of Thailand",2075,45.83638694
"Thailand",2076,51.98506564
"Bangkok",2076,4.389159287
"Rest of Thailand",2076,45.5316194
"Thailand",2077,51.63710173
"Bangkok",2077,4.359780291
"Rest of Thailand",2077,45.22685186
"Thailand",2078,51.28913781
"Bangkok",2078,4.330401294
"Rest of Thailand",2078,44.92208432
"Thailand",2079,50.94117389
"Bangkok",2079,4.301022298
"Rest of Thailand",2079,44.61731678
"Thailand",2080,50.59320998
"Bangkok",2080,4.271643302
"Rest of Thailand",2080,44.31254924
"Thailand",2081,50.24524606
"Bangkok",2081,4.242264305
"Rest of Thailand",2081,44.0077817
"Thailand",2082,49.89728215
"Bangkok",2082,4.212885309
"Rest of Thailand",2082,43.70301416
"Thailand",2083,49.54931823
"Bangkok",2083,4.183506313
"Rest of Thailand",2083,43.39824662
"Thailand",2084,49.20135431
"Bangkok",2084,4.154127316
"Rest of Thailand",2084,43.09347908
"Thailand",2085,48.8533904
"Bangkok",2085,4.12474832
"Rest of Thailand",2085,42.78871154
"Thailand",2086,48.50542648
"Bangkok",2086,4.095369324
"Rest of Thailand",2086,42.483944
"Thailand",2087,48.15746257
"Bangkok",2087,4.065990327
"Rest of Thailand",2087,42.17917646
"Thailand",2088,47.80949865
"Bangkok",2088,4.036611331
"Rest of Thailand",2088,41.87440892
"Thailand",2089,47.46153473
"Bangkok",2089,4.007232335
"Rest of Thailand",2089,41.56964137
"Thailand",2090,47.11357082
"Bangkok",2090,3.977853338
"Rest of Thailand",2090,41.26487383
"Thailand",2091,46.7656069
"Bangkok",2091,3.948474342
"Rest of Thailand",2091,40.96010629
"Thailand",2092,46.41764298
"Bangkok",2092,3.919095345
"Rest of Thailand",2092,40.65533875
"Thailand",2093,46.06967907
"Bangkok",2093,3.889716349
"Rest of Thailand",2093,40.35057121
"Thailand",2094,45.72171515
"Bangkok",2094,3.860337353
"Rest of Thailand",2094,40.04580367
"Thailand",2095,45.37375124
"Bangkok",2095,3.830958356
"Rest of Thailand",2095,39.74103613
"Thailand",2096,45.02578732
"Bangkok",2096,3.80157936
"Rest of Thailand",2096,39.43626859
"Thailand",2097,44.6778234
"Bangkok",2097,3.772200364
"Rest of Thailand",2097,39.13150105
"Thailand",2098,44.32985949
"Bangkok",2098,3.742821367
"Rest of Thailand",2098,38.82673351
"Thailand",2099,43.98189557
"Bangkok",2099,3.713442371
"Rest of Thailand",2099,38.52196597
"Thailand",2100,43.63393166
"Bangkok",2100,3.684063375
"Rest of Thailand",2100,38.21719843
"Nonthaburi",1970,0.616237769
"Nonthaburi",1971,0.632671612
"Nonthaburi",1972,0.649105454
"Nonthaburi",1973,0.665539297
"Nonthaburi",1974,0.681973139
"Nonthaburi",1975,0.698406982
"Nonthaburi",1976,0.714840824
"Nonthaburi",1977,0.731274667
"Nonthaburi",1978,0.747708509
"Nonthaburi",1979,0.764142352
"Nonthaburi",1980,0.780576194
"Nonthaburi",1981,0.797010037
"Nonthaburi",1982,0.813443879
"Nonthaburi",1983,0.829877722
"Nonthaburi",1984,0.846311565
"Nonthaburi",1985,0.862745407
"Nonthaburi",1986,0.87917925
"Nonthaburi",1987,0.895613092
"Nonthaburi",1988,0.912046935
"Nonthaburi",1989,0.928480777
"Nonthaburi",1990,0.94491462
"Nonthaburi",1991,0.955598747
"Nonthaburi",1992,0.966282875
"Nonthaburi",1993,0.976967003
"Nonthaburi",1994,0.987651131
"Nonthaburi",1995,0.998335259
"Nonthaburi",1996,1.009019386
"Nonthaburi",1997,1.019703514
"Nonthaburi",1998,1.030387642
"Nonthaburi",1999,1.04107177
"Nonthaburi",2000,1.051755897
"Nonthaburi",2001,1.059985767
"Nonthaburi",2002,1.068215636
"Nonthaburi",2003,1.076445505
"Nonthaburi",2004,1.084675374
"Nonthaburi",2005,1.092905243
"Nonthaburi",2006,1.098849595
"Nonthaburi",2007,1.104793946
"Nonthaburi",2008,1.110738297
"Nonthaburi",2009,1.116682649
"Nonthaburi",2010,1.122627
"Nonthaburi",2011,1.122627
"Nonthaburi",2012,1.141673
"Nonthaburi",2013,1.156271
"Nonthaburi",2014,1.17387
"Nonthaburi",2015,1.193711
"Nonthaburi",2016,1.211924
"Nonthaburi",2017,1.229735
"Nonthaburi",2018,1.246295
"Nonthaburi",2019,1.265387
"Nonthaburi",2020,1.276745
"Nonthaburi",2021,1.277743715
"Nonthaburi",2022,1.278742429
"Nonthaburi",2023,1.279741144
"Nonthaburi",2024,1.280739858
"Nonthaburi",2025,1.281738573
"Nonthaburi",2026,1.282737287
"Nonthaburi",2027,1.283736002
"Nonthaburi",2028,1.284734717
"Nonthaburi",2029,1.285733431
"Nonthaburi",2030,1.286732146
"Nonthaburi",2031,1.282702534
"Nonthaburi",2032,1.278672922
"Nonthaburi",2033,1.274643309
"Nonthaburi",2034,1.270613697
"Nonthaburi",2035,1.266584085
"Nonthaburi",2036,1.262554473
"Nonthaburi",2037,1.258524861
"Nonthaburi",2038,1.254495249
"Nonthaburi",2039,1.250465637
"Nonthaburi",2040,1.246436025
"Nonthaburi",2041,1.242406413
"Nonthaburi",2042,1.238376801
"Nonthaburi",2043,1.234347189
"Nonthaburi",2044,1.230317577
"Nonthaburi",2045,1.226287964
"Nonthaburi",2046,1.222258352
"Nonthaburi",2047,1.21822874
"Nonthaburi",2048,1.214199128
"Nonthaburi",2049,1.210169516
"Nonthaburi",2050,1.206139904
"Nonthaburi",2051,1.198274569
"Nonthaburi",2052,1.190409235
"Nonthaburi",2053,1.1825439
"Nonthaburi",2054,1.174678566
"Nonthaburi",2055,1.166813231
"Nonthaburi",2056,1.158947897
"Nonthaburi",2057,1.151082562
"Nonthaburi",2058,1.143217228
"Nonthaburi",2059,1.135351893
"Nonthaburi",2060,1.127486559
"Nonthaburi",2061,1.119621224
"Nonthaburi",2062,1.11175589
"Nonthaburi",2063,1.103890555
"Nonthaburi",2064,1.096025221
"Nonthaburi",2065,1.088159886
"Nonthaburi",2066,1.080294552
"Nonthaburi",2067,1.072429217
"Nonthaburi",2068,1.064563883
"Nonthaburi",2069,1.056698548
"Nonthaburi",2070,1.048833213
"Nonthaburi",2071,1.040967879
"Nonthaburi",2072,1.033102544
"Nonthaburi",2073,1.02523721
"Nonthaburi",2074,1.017371875
"Nonthaburi",2075,1.009506541
"Nonthaburi",2076,1.002794301
"Nonthaburi",2077,0.996082061
"Nonthaburi",2078,0.989369821
"Nonthaburi",2079,0.982657581
"Nonthaburi",2080,0.975945341
"Nonthaburi",2081,0.969233101
"Nonthaburi",2082,0.962520862
"Nonthaburi",2083,0.955808622
"Nonthaburi",2084,0.949096382
"Nonthaburi",2085,0.942384142
"Nonthaburi",2086,0.935671902
"Nonthaburi",2087,0.928959662
"Nonthaburi",2088,0.922247422
"Nonthaburi",2089,0.915535182
"Nonthaburi",2090,0.908822942
"Nonthaburi",2091,0.902110702
"Nonthaburi",2092,0.895398463
"Nonthaburi",2093,0.888686223
"Nonthaburi",2094,0.881973983
"Nonthaburi",2095,0.875261743
"Nonthaburi",2096,0.868549503
"Nonthaburi",2097,0.861837263
"Nonthaburi",2098,0.855125023
"Nonthaburi",2099,0.848412783
"Nonthaburi",2100,0.841700543
"SamutPrakan",1970,0.66047891
"SamutPrakan",1971,0.678092576
"SamutPrakan",1972,0.695706243
"SamutPrakan",1973,0.713319909
"SamutPrakan",1974,0.730933575
"SamutPrakan",1975,0.748547241
"SamutPrakan",1976,0.766160908
"SamutPrakan",1977,0.783774574
"SamutPrakan",1978,0.80138824
"SamutPrakan",1979,0.819001906
"SamutPrakan",1980,0.836615573
"SamutPrakan",1981,0.854229239
"SamutPrakan",1982,0.871842905
"SamutPrakan",1983,0.889456571
"SamutPrakan",1984,0.907070238
"SamutPrakan",1985,0.924683904
"SamutPrakan",1986,0.94229757
"SamutPrakan",1987,0.959911236
"SamutPrakan",1988,0.977524903
"SamutPrakan",1989,0.995138569
"SamutPrakan",1990,1.012752235
"SamutPrakan",1991,1.024203401
"SamutPrakan",1992,1.035654567
"SamutPrakan",1993,1.047105733
"SamutPrakan",1994,1.0585569
"SamutPrakan",1995,1.070008066
"SamutPrakan",1996,1.081459232
"SamutPrakan",1997,1.092910398
"SamutPrakan",1998,1.104361564
"SamutPrakan",1999,1.11581273
"SamutPrakan",2000,1.127263896
"SamutPrakan",2001,1.136084607
"SamutPrakan",2002,1.144905318
"SamutPrakan",2003,1.153726028
"SamutPrakan",2004,1.162546739
"SamutPrakan",2005,1.171367449
"SamutPrakan",2006,1.17773856
"SamutPrakan",2007,1.18410967
"SamutPrakan",2008,1.19048078
"SamutPrakan",2009,1.19685189
"SamutPrakan",2010,1.203223
"SamutPrakan",2011,1.203223
"SamutPrakan",2012,1.223302
"SamutPrakan",2013,1.24161
"SamutPrakan",2014,1.26153
"SamutPrakan",2015,1.27931
"SamutPrakan",2016,1.293553
"SamutPrakan",2017,1.310766
"SamutPrakan",2018,1.326608
"SamutPrakan",2019,1.344875
"SamutPrakan",2020,1.351479
"SamutPrakan",2021,1.352536174
"SamutPrakan",2022,1.353593348
"SamutPrakan",2023,1.354650522
"SamutPrakan",2024,1.355707696
"SamutPrakan",2025,1.356764871
"SamutPrakan",2026,1.357822045
"SamutPrakan",2027,1.358879219
"SamutPrakan",2028,1.359936393
"SamutPrakan",2029,1.360993567
"SamutPrakan",2030,1.362050741
"SamutPrakan",2031,1.357785257
"SamutPrakan",2032,1.353519772
"SamutPrakan",2033,1.349254287
"SamutPrakan",2034,1.344988803
